#VALOR!;;;;;;;;#VALOR!;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Colaboradores;Kevin Pérez;;Supervisores;Berenice Arguero;;;;;;;;;;;
;Joselin Vasco;;;Adriana Riofrio;;;;;;;;;;;
;Kevin Verdezoto;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Recolección de datos ;;;;;;;;;;;;;;;
Espaciamiento;;Parámetros de Longitudes de onda [nm];;;;;;;;;;;;;
50 GHz;;L_datos;1550;L_LTE;1550,32;L_GFDM;1549,68;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
DATOS 10Gbps;;;;LTE;;;;GFDM;;;;;Análisis Datos;;
Atenuación [dB];Q_factor;P_rx [dBm];BER;Atenuación [dB];EVM;P_rx [dBm];BER;Atenuación [dB];P_rx [dBm];BER;;;DATOS;LTE ;GFDM
1;;;;1;;;;1;;;;V_bias [V];;;
1,5;;;;1,5;;;;1,5;;;;Filtro [pm];400;300;300
2;;;;2;;;;2;;;;LDC;;;
2,5;;;;2,5;;;;2,5;;;;;;;
3;;;;3;;;;3;;;;;Análisis LTE;;
3,5;;;;3,5;;;;3,5;;;;;DATOS;LTE ;GFDM
4;;;;4;;;;4;;;;V_bias [V];;;
4,5;;;;4,5;;;;4,5;;;;Filtro [pm];400;300;300
5;;;;5;;;;5;;;;LDC;;;
5,5;;;;5,5;;;;5,5;;;;;;;
6;;;;6;;;;6;;;;;Análisis GFDM;;
6,5;;;;6,5;;;;6,5;;;;;DATOS;LTE ;GFDM
7;;;;7;;;;7;;;;V_bias [V];;;
7,5;;;;7,5;;;;7,5;;;;Filtro [pm];400;300;300
8;;;;8;;;;8;;;;LDC;;;
8,5;;;;8,5;;;;8,5;;;;;;;
9;;;;9;;;;9;;;;Observaciones;;;
9,5;;;;9,5;;;;9,5;;;;;;;
10;;;;10;;;;10;;;;;;;
10,5;;;;10,5;;;;10,5;;;;;;;
11;;;;11;;;;11;;;;;;;
11,5;;;;11,5;;;;11,5;;;;;;;
12;;;;12;;;;12;;;;;;;
12,5;;;;12,5;;;;12,5;;;;;;;
13;;;;13;;;;13;;;;;;;
13,5;;;;13,5;;;;13,5;;;;;;;
14;;;;14;;;;14;;;;;;;
14,5;;;;14,5;;;;14,5;;;;;;;
15;;;;15;;;;15;;;;;;;
15,5;;;;15,5;;;;15,5;;;;;;;
16;;;;16;;;;16;;;;;;;
