DATOS 10Gbps;;;;LTE;;;
Atenuación [dB];Q_factor;P_rx [dBm];BER;Atenuación [dB];EVM;P_rx [dBm];BER
1;4,59;-5,33; ;1;9,884;-5,09; 
1.5;4,51;-5,66; ;1.5;9,8803;-5,36; 
2;4,41;-6,07; ;2;9,9373;-5,72; 
2.5;4,32;-6,53; ;2.5;9,9664;-6,15; 
3;4,2;-7,03; ;3;10,002;-6,59; 
3.5;4,1;-7,53; ;3.5;10,115;-7,1; 
4;4,06;-8,04; ;4;10,208;-7,59; 
4.5;4;-8,46; ;4.5;10,338;-7,99; 
5;3,95;-8,91; ;5;10,541;-8,44; 
5.5;3,9;-9,34; ;5.5;10,786;-8,88; 
6;3,87;-9,7; ;6;11,028;-9,46; 
6.5;3,8;-10,09; ;6.5;11,295;-9,6; 
7;3,75;-10,55; ;7;11,666;-10,04; 
7.5;3,72;-11,02; ;7.5;12,122;-10,56; 
8;3,67;-11,5; ;8;12,714;-10,94; 
8.5;3,57;-11,99; ;8.5;13,487;-11,48; 
9;3,54;-12,47; ;9;14,098;-11,87; 
9.5;3,5;-12,96; ;9.5;15,109;-12,39; 
10;4,46;-13,45; ;10;16,399;-12,94; 
10.5; ; ; ;10.5; ; ; 
11; ; ; ;11; ; ; 
11,5; ; ; ;11,5; ; ; 
12; ; ; ;12; ; ; 
