Items,Nominal Optical Transmission Power (dBm),Wavelength,Modulator Type,"Vbias
(V)","RF Signal	","Modulation Type	",RF Bits,Transmission Rate (bps),RF Voltage (mV),"""RF Power (dBm)""	","""RF Amplifier TX (dB)""	(dB)",SFM (km),SMF Attenuation,"""Dispersion (ps/nm·km)""	","Attenuation (dB)	",Splitter ,"Filter	",Optical Amplifier Current (mA) SOA,PRx (dBm),Photodiode,Maximum Allowed Optical Power (dBm),"""Optical Receiver Responsivity (A/W)""	","Detector BW	",RF Amplifier (RX) (dB),BER,EVM,Q-Factor,Transmission Quality,,,,,,,,,,,,,,,,,,,,
1,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,10,0,0,3.70E-01,-15.66,Pin,-3,0.8,1.00E+10,29,1.48E-51,6.64,15.06024096,Excelente
2,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,11,0,0,3.70E-01,"-16,72",Pin,-3,0.8,1.00E+10,29,5.88E-50,6.75,14.81481481,Excelente
3,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,12,0,0,3.70E-01,-17.69,Pin,-3,0.8,1.00E+10,29,3.06E-47,6.95,14.38848921,Excelente
4,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,13,0,0,3.70E-01,-18.69,Pin,-3,0.8,1.00E+10,29,4.84E-44,7.21,13.86962552,Excelente
5,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,14,0,0,3.70E-01,-19.69,Pin,-3,0.8,1.00E+10,29,7.25E-39,7.7,12.98701299,Excelente
6,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,15,0,0,3.70E-01,-20.64,Pin,-3,0.8,1.00E+10,29,4.88E-34,8.26,12.10653753,Excelente
7,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,16,0,0,3.70E-01,-21.7,Pin,-3,0.8,1.00E+10,29,8.05E-28,9.2,10.86956522,Excelente
8,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,17,0,0,3.70E-01,-22.67,Pin,-3,0.8,1.00E+10,29,2.40E-22,10.36,9.652509653,Excelente
9,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,18,0,0,3.70E-01,-23.68,Pin,-3,0.8,1.00E+10,29,1.46E-16,12.23,8.176614881,Excelente
10,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,19,0,0,3.70E-01,-24.62,Pin,-3,0.8,1.00E+10,29,2.41E-12,14.47,6.910850035,Excelente
11,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,20,0,0,3.70E-01,-25.62,Pin,-3,0.8,1.00E+10,29,5.30E-09,17.48,5.720823799,Excelente
12,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,21,0,0,3.70E-01,-26.63,Pin,-3,0.8,1.00E+10,29,1.99E-06,21.68,4.612546125,Excelente
13,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,22,0,0,3.70E-01,-27.59,Pin,-3,0.8,1.00E+10,29,3.08E-05,24.96,4.006410256,Excelente
14,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,23,0,0,3.70E-01,-28.55,Pin,-3,0.8,1.00E+10,29,9.31E-05,26.76,3.736920777,Excelente
15,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,24,0,0,3.70E-01,-29.56,Pin,-3,0.8,1.00E+10,29,4.92E-03,38.74,2.581311306,Aceptable
16,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,25,0,0,3.70E-01,-30.56,Pin,-3,0.8,1.00E+10,29,1.74E-02,47.38,2.110595188,Mala Señal
17,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,26,0,0,3.70E-01,-31.66,Pin,-3,0.8,1.00E+10,29,3.24E-02,54.17,1.846040244,Mala Señal
18,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,27,0,0,3.70E-01,-32.57,Pin,-3,0.8,1.00E+10,29,6.71E-02,66.76,1.497902936,Mala Señal
19,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,28,0,0,3.70E-01,-33.53,Pin,-3,0.8,1.00E+10,29,1.56E-01,98.78,1.012350678,Mala Señal
20,8,1.55E-06,8036016 IM,4.1,LTE,4QAM,2.00E+07,2.00E+07,0.63,-21,29,25,5.36,17,29,0,0,3.70E-01,-34.54,Pin,-3,0.8,1.00E+10,29,1.69E-01,104.38,0.958037938,Mala Señal
